"No","NN.sigma_1800_today","lat","long"
378,0.126334748820787,32.25,346.83
379,0.0334543891463545,32.25,348.58
380,0.0165306424183131,32.17,349.47
381,0.0204020277937773,32.034,350.08
382,0.0122553806528954,55.58,347.4
383,0.000542693805249953,57.28,343.11
384,0.0154388748285004,59.74,336.18
385,0.0229838980999573,60.38,334.35
386,0.00501427567982421,59.67,330.18
387,0.0233646798923809,58.76,332.73
388,0.00403532874828825,57.79,335.29
389,0.00828760743111815,55.69,334.22
390,0.010509382250632,54.92,328.35
391,0.0120539556634334,54.68,326.66
392,0.00763649124800413,53.25,329.69
393,0.0134465285425167,52.49,331.58
394,0.00235906399999357,52.87,325.08
395,0.0447425231792531,52.65,325
396,0.0390268179448315,52.1,325
397,0.00423177731605101,51.75,330
398,0.0219469663591946,52,331.04
399,0.133467720085109,52.93,333.46
400,0.00852385577822281,51.05,339.44
401,0.0571794401107693,50.42,343.24
402,0.00385894648308796,50.72,345.8
403,0.00174819366762391,55.33,306.11
404,0.000976406588826311,55.97,306.73
405,0.0015634687527322,57.38,308.21
406,0.00116722231479758,58.49,309.44
407,0.00142647073857265,56.27,311.3
408,0.000473478251368751,53.69,310.56
409,0.00134590376873994,53.44,309.93
410,0.0107849643420542,53.13,309.1
411,0.000999065881287142,52.87,308.49
412,0.00343873187786034,52.97,308.7
413,0.00194915887365042,57.67,303.47
414,0.000319233723920926,57.11,305.4
415,0.00395102631346817,55.7,306.47
416,0.00496561470356504,56.57,307.34
417,0.0122781463148426,59.47,310.5
418,0.0105495638926716,60.13,311.24
419,0.00774559121003929,60.31,311.43
420,0.000643659521846829,59.05,316.5
421,0.00464336727871751,57.97,316.5
422,0.00423471890004043,56.66,316.5
423,0.0168091500396697,55.27,316.5
424,0.00502680492581545,53.17,316.5
425,0.00122581421013475,51.5,316.5
426,0.00555063509461642,50,316.5
427,6.01682386762738e-05,49.26,315.75
428,0.000880936514550697,48.86,315.35
429,0.00358715512775385,50.8,322.5
430,0.00109518941999984,51.34,325
431,0.00956402406874586,52.38,325
432,0.0102901062359689,53.19,325.14
433,0.00605399284360756,54.71,324.84
434,0.00309785983071015,56.05,324.59
435,0.0177941031462524,57.03,323.28
436,0.029974859736637,57.9,321.57
437,0.0143254380974753,58.57,320.25
438,0.00694608585198321,59.03,319.35
439,0.00238339167142255,59.22,318.95
440,0.00177827138410107,59.59,318.17
441,0.0170499866422609,42.52,313.21
442,0.0141860755123252,42.55,315.82
443,6.80123428103068e-05,43.25,318.5
444,0.00707019969532511,43.633,319.8
445,0.00887025733346495,43.951,321.2
446,0.00121374654661068,44.95,325.42
447,0.000427613999482954,46.392,330.16
448,0.00136497729794553,45.884,328.42
449,0.0126755687913924,49.755,318.51
450,0.0047536337879183,49.351,317.38
451,0.000753993169404109,48.85,316.03
452,0.00108713737801003,48.633,315.42
453,0.00138578157621151,48.5,315
454,0.00297433306424204,54.283,311.82
455,0.00575964958442399,53.749,310.6
456,0.00702401618827095,53.516,310.05
457,0.00727393560314834,53.292,309.49
458,0.000138636727148639,53.009,308.79
459,0.00446025261152717,52.925,308.59
460,0.040367643166429,52.776,308.21
461,0.00320333496973308,52.694,307.99
462,0.00096877259247249,66.231,332.48
463,0.0011188581856568,66.132,332.92
464,0.0012903988310253,66,333.49
465,0.031203048896918,64.881,330
466,0.0324100393274278,63.578,330.01
467,0.00281061542252366,61.015,337.85
468,0.0334854898078286,60.453,338.34
469,0.000291552693572718,59.718,339.09
470,0.0167660332091518,58.968,339.8
471,0.12746817374532,59.101,338.22
472,0.103960076391716,60.316,334.79
473,0.0404241876827456,60.882,332.98
474,0.00431672041940779,61.129,332.22
475,0.00389263595962024,60.464,331.23
476,0.00141734214467444,59.668,330.18
477,0.0488496112035891,59.068,331.92
478,0.00806303273696489,58.45,333.58
479,0.00296665825606209,57.801,335.2
480,0.000342303379840983,57.534,336
