"No","NN.sigma","lat","long"
404,0.000185205613622546,55.97,306.73
405,0.000246480832896858,57.38,308.21
406,0.00106711840592159,58.49,309.44
407,0.000780662586923873,56.27,311.3
408,0.00151237928360464,53.69,310.56
409,0.00136768840679226,53.44,309.93
410,0.0136896111981018,53.13,309.1
411,0.00197272638060842,52.87,308.49
412,0.00138128932000556,52.97,308.7
413,0.00145549974999428,57.67,303.47
414,0.000492534515167241,57.11,305.4
415,0.00203640193528768,55.7,306.47
416,0.000617019052137957,56.57,307.34
417,0.00611730912277944,59.47,310.5
418,0.0164301569301954,60.13,311.24
419,0.0248948760206098,60.31,311.43
420,0.00321377948995342,59.05,316.5
421,0.0109813099809155,57.97,316.5
422,0.00696840352704619,56.66,316.5
423,0.00432487188102946,55.27,316.5
424,0.000157463187548773,53.17,316.5
425,0.000105651406697572,51.5,316.5
426,0.00557363345238638,50,316.5
427,0.00120636881918926,49.26,315.75
428,0.00227511698852855,48.86,315.35
429,0.014489237737292,50.8,322.5
430,0.00830776517257253,51.34,325
431,0.00460944733647221,52.38,325
432,0.0317118354294785,53.19,325.14
433,0.0219398337553687,54.71,324.84
434,0.012676129168487,56.05,324.59
435,0.00315096732756339,57.03,323.28
436,0.0112177568952872,57.9,321.57
437,0.0106605313690786,58.57,320.25
438,0.000529180255529142,59.03,319.35
439,0.00120600764977301,59.22,318.95
440,0.00130815185069396,59.59,318.17
441,0.0112071871229607,42.52,313.21
442,0.00341590248700849,42.55,315.82
443,0.00123458134826305,43.25,318.5
444,0.00418036918888229,43.633,319.8
445,0.00756799509082643,43.951,321.2
446,0.000373669499940413,44.95,325.42
447,0.00226649705441314,46.392,330.16
448,0.00052833813459735,45.884,328.42
449,0.00604773527585403,49.755,318.51
450,0.00888694401366317,49.351,317.38
451,0.000236894899053979,48.85,316.03
452,0.000619698799064592,48.633,315.42
453,0.00361976413513201,48.5,315
454,0.00293123363697307,54.283,311.82
455,0.00246130240774851,53.749,310.6
456,0.000142377755488303,53.516,310.05
457,0.00541833195199794,53.292,309.49
458,0.00640527986734125,53.009,308.79
459,0.00524404067111222,52.925,308.59
460,0.051974335387853,52.776,308.21
461,0.0751916957298238,52.694,307.99
462,0.00365994768615727,66.231,332.48
463,0.0187591466412056,66.132,332.92
464,0.000130317037183956,66,333.49
465,0.00134761970688915,64.881,330
466,0.00114362260235075,63.578,330.01
467,0.0014437795917561,61.015,337.85
468,0.00118326641462353,60.453,338.34
469,0.000204341056736971,59.718,339.09
470,0.00208008456414926,58.968,339.8
471,0.0324027806897252,59.101,338.22
472,0.0828972943224376,60.316,334.79
473,0.0474783283915461,60.882,332.98
474,0.00969892553422251,61.129,332.22
475,0.00302736071868384,60.464,331.23
476,0.0117964586260349,59.668,330.18
477,0.0877517357891982,59.068,331.92
478,0.002726918032922,58.45,333.58
479,0.00293393009012458,57.801,335.2
480,0.0188376832341155,57.534,336
481,0.00132713686333067,57.234,336.83
482,0.00340349304853714,56.215,333.38
483,0.00773865165095611,55.394,332.06
484,0.73211926276116,53.2,329.92
485,5.21842460740019e-05,51.533,330.03
486,0.0025048213560473,51.25,330.01
487,0.32074375409779,50.63,330.29
488,0.0133626175746363,46.666,331.75
489,0.0310541286298024,46.65,332.65
490,0.0389113654533123,46.831,333.43
491,0.0205184580606284,47.448,337.05
492,0.00180997013190778,47.683,338.65
493,0.00877940897042204,47.916,340.27
494,0.0029854423113053,48.167,341.89
495,0.00410425699489256,48.417,343.6
496,0.00255961049103577,48.55,344.55
497,0.00254188277694862,66.153,332.82
498,0.00272528723876884,66.28,333.44
499,0.00332585427577548,65.333,331.56
500,0.0194591193553371,64.73,330
501,0.0433984907321531,62.722,331.9
502,0.0108480365535169,62.391,332.89
503,0.0102050741246748,62.393,335.27
504,9.89854197737049e-05,62.491,336.41
505,0.000556784912013502,61.64,337.31
506,0.000919179040391101,61.01,337.84
507,0.000627859983428611,60.546,338.28
508,0.00303153778791125,59.63,339.16
509,5.68762925764771e-06,58.917,338.69
510,0.0046378926575624,59.349,337.56
511,0.00833155002345425,59.838,336.18
512,0.0181614162715917,60.112,335.38
513,0.0319565838474685,60.408,334.51
514,0.0386995449931757,60.933,332.83
515,0.0197147240994212,60.1,330.76
516,0.010117135627454,59.59,330.39
517,0.00984786453611565,59.176,331.6
518,0.0137033108466034,58.403,333.69
519,0.000350105666502702,58.08,334.45
520,0.0321151242881258,57.447,336.24
521,0.00258324844968596,57.166,336.6
522,0.0119278951607232,56.756,335.2
523,0.00259935448762936,56.355,333.8
524,0.00141257680097717,56.072,333.16
525,0.00213364645803284,55.342,331.91
526,0.0036527900629851,54.94,330.28
527,0.000448829505665486,54.823,329.76
528,0.0043988022623521,54.823,329.76
529,0.00391501265928985,53.862,329.91
530,0.00521236912384131,53.193,330.06
531,0.00310323060602742,52.467,330.14
532,0.00161821701717119,52.055,329.99
533,0.000425487597084541,51.593,330.06
534,0.00377060186017367,51.029,330.09
535,0.00554573570949689,51.402,330
536,0.00100469927319874,51.77,329.94
537,0.0036949909416377,51.604,330.03
538,0.00374269871267515,51.273,330.23
539,0.00188956049085737,49.715,330.29
540,0.000933941027267718,48.413,330.63
541,0.00308282992976713,47.11,331.48
542,0.000320567183005409,46.657,332.25
543,0.0137048368715365,46.667,332.97
544,0.0155684991428333,47.013,334.04
545,0.0110707344811315,47.137,334.94
546,0.00152087071160371,47.244,335.64
547,0.0166922136638529,47.435,336.94
548,0.00384470251625303,47.541,337.71
549,0.0163163878113944,47.712,338.84
550,0.00166736406216145,47.925,340.28
551,0.00503518356991844,48.002,341.23
552,0.00399012325379526,48.282,342.77
553,0.0566039620877929,48.58,344.77
554,0.165894927627733,48.66,345.32
555,0.000390932151231645,48.757,346.01
556,0.00866463385378887,48.849,346.66
557,0.154579602610819,48.923,347.17
558,0.00820572392091238,37.97,366
559,0.00210642139703787,38.75,370.61
560,0.00698527213186209,36.9,372
561,0.0158151651816834,35,376.3
562,0.00540710374326828,34.5,379
563,0.000264038532884706,35,22.5
564,0.000942058660193059,34.66,24.33
565,0.000104681368048304,34.33,27.5
566,0.0690091850598871,34,29.5
567,0.00513312172315307,33.95,31.2
568,0.144904588060075,34.07,33
569,0.167161894605173,34,34.2
570,0.0557520052964105,33.5,33
571,0.146195659401192,32.5,25.53
572,0.00120462245583815,11,303.36
573,0.0898087048440711,10,321.01
574,0.0375907939047626,59.874,322.8
575,0.0135266659776748,58.965,318.79
576,0.000146500365203839,58.868,310.66
577,0.000651479835660835,58.407,306.2
578,0.000575103807449527,57.599,307.41
579,0.000586713848640824,56.801,308.62
580,0.0115442311531548,55.992,309.83
581,0.00115640299063189,55.183,311.04
582,0.0151272157863379,54.641,313.11
583,0.0485516139758153,55.401,314.83
584,0.0125818132703327,56.9,318.28
585,0.0610786415459613,55.433,318.45
586,0.0129221487569124,54.008,318.61
587,0.00624586076177153,52.617,318.79
588,0.00139196416562927,51.225,318.95
589,0.0077580735605894,49.831,319.12
590,0.00725824348649579,49.724,321.67
591,0.141997999312154,49.614,324.22
592,0.00741023020522776,49.3,332.14
593,0.0069586881883474,49.234,333.93
594,0.00572552561563627,52.566,330.3
595,0.00342305864297251,53.875,329.71
596,0.0280916430502706,55.392,329.73
597,0.00473952094560523,55.698,332.35
598,0.0579620275751208,56.482,337.67
599,0.00342473160931574,56.668,338.97
600,0.000763717509912575,54.817,333.7
601,0.00268322133843007,53.883,335.68
602,0.000103342019690791,52.017,339.63
603,0.00489388813271884,50.609,342.6
604,0.0230038719166166,50.141,343.62
605,0.00214700429800413,49.209,345.56
606,0.00111290595754001,48.909,346.7
607,0.000559481419064853,48.6,344.45
608,0.00190500909933232,47.982,339.95
609,0.00264628836714169,47.708,337.94
610,0.0190794343484487,47.483,336.31
611,0.00164227409605186,46.824,332.37
612,0.0159818856249786,46.642,330.76
613,9.65077200474651e-06,46.558,325.84
614,0.00202810257847366,46.807,321.92
615,0.00693506873079993,46.924,319.95
616,0.01422920504438,47.002,318.57
617,0.00241203579169278,47,317.94
618,0.00301065188006347,47,317.6
619,0.0018241488553715,46.999,316.94
620,0.00168687952716365,47,316.81
621,0.00152979957572162,19.495,298.03
622,0.000208560479908404,20.797,297.74
623,0.000388369408768661,22.063,296.77
624,0.000838036179618914,23.315,295.82
625,0.000712162315430505,24.562,294.89
626,0.00010911152502417,25.797,294
627,0.00336641555988524,27.062,295.39
628,0.000214466690237233,28.335,297.03
629,0.00672284422171182,29.727,298.7
630,0.000179703522583054,30.873,300.34
631,0.00908028029510266,31.978,301.89
632,0.00296832752119888,33.135,303.51
633,0.00401355777786374,36.287,303.6
634,0.00032452680517548,34.797,304.27
635,1.74072177076805e-05,32.95,304.88
636,0.000594283147661353,30.995,305.51
637,0.00133021733384897,29.778,305.83
638,0.00121076881929286,31.745,309.25
639,0.00275900180430205,32.93,309.89
640,0.00239292932644519,33.935,310.39
641,0.0128646344980191,36.093,312.97
642,0.00133340774778445,37.622,314.64
643,0.00261001865493746,41.982,318.02
644,0.00636147812557994,32.188,314.49
645,0.000114020477072978,32.595,316.43
646,0.0101099535162511,33.018,318.52
647,0.00864250220583951,33.395,322.66
648,0.00659974346838623,33.707,327.65
649,0.0104658223696416,33.963,329.37
650,0.00475647554845178,33.965,329.83
651,0.0166864088602659,32.573,331.41
652,0.00661973345534437,30.815,333.24
653,0.00278659398163907,31.948,333.74
654,0.0119222797796278,33.76,334.86
655,3.47553504302257e-05,34.767,336.9
656,0.0335195190617947,35.527,336.02
657,0.00882451866188267,37.603,337.34
658,0.0119797416022276,38.018,339.97
659,0.00276947109791378,37.877,342.53
660,0.00616707665865905,37.762,344.44
661,0.00566457172482714,37.588,346.52
662,0.0158656646232368,37.608,348.16
663,0.00470849786454793,37.578,349.81
664,0.000215427469800571,-4.8078,325.12
665,0.000280702090594005,-4.0032,325.12
666,0.00273336562141518,-3.0058,325.11
667,0.0012557356813418,-1.6675,325
668,0.00390770364160035,-0.9997,325
669,0.0129470397359782,0.3325,325
670,0.0260381685590382,0.9952,325
671,0.00241124064784548,2.3323,325
672,0.0400126733919376,3.0013,325
673,0.0467098773203786,3.9983,325
674,0.00411476385927827,4.952,325
675,0.00861807757918372,-0.6645,327.5
676,0.0165916055467907,-4.0002,337
677,0.00643710724474184,-3.0003,337
678,0.000411938544679163,-2.3332,337
679,0.000128071479373564,-1.668,337
680,0.00655690804313208,-1.0065,336.99
681,0.00884451074991774,-0.7505,337
682,0.0124801779238728,-0.501,337
683,0.0237075881027488,0.121,336.88
684,0.0134502771677947,0.416,337
685,0.0097629270506961,0.751,337.01
686,0.0016616529206563,1,337
687,0.018483316022912,3e-04,338.5
689,0.0132852983240005,-0.0105,340.99
690,0.0489481209474645,-0.0092,341.99
691,0.0277379197578256,-0.0035,342.98
692,6.82128094478128e-05,-0.0022,343.97
693,0.00284973095142375,-5e-04,344.98
694,0.0290501339056255,5e-04,345.99
695,0.0208286751394256,-0.001,346.86
696,0.0147005484677455,-0.003,348
697,0.0429935274181198,-1.4988,350
698,0.105638331090838,-0.6728,349.99
699,0.0128394390946205,0.0162,350.17
700,0.00865050822753738,0.3347,349.98
701,0.0157547263161853,1.0005,350
702,0.0567834131072331,1.5007,350
703,0.0764563327386745,1.9938,348.97
704,0.00299923401802984,2.0002,347.97
705,0.0464086217493061,1.9875,345.98
